Probabilities:
Mile Number: 1, Probability: 3.6366178509716907e-05, Refund 119.997, Cost 5.314547209027631e-06
Mile Number: 32809, Probability: 3.6366178509716907e-05, Refund 21.573, Cost 1.3490643888650817
Mile Number: 32810, Probability: 3.6366178509716907e-05, Refund 21.57, Cost 1.3491854068174303
Mile Number: 32811, Probability: 3.6366178509716907e-05, Refund 21.567, Cost 1.3493063939589522
Mile Number: 32812, Probability: 3.6366178509716907e-05, Refund 21.564, Cost 1.3494273502723193
Mile Number: 32813, Probability: 3.6366178509716907e-05, Refund 21.561, Cost 1.3495482757402057
Mile Number: 32814, Probability: 3.6366178509716907e-05, Refund 21.558, Cost 1.3496691703452746
Mile Number: 32815, Probability: 3.6366178509716907e-05, Refund 21.555, Cost 1.3497900340701938
Mile Number: 32816, Probability: 3.6366178509716907e-05, Refund 21.552, Cost 1.3499108668976225
Mile Number: 32817, Probability: 3.6366178509716907e-05, Refund 21.549, Cost 1.3500316688102139
Mile Number: 32818, Probability: 3.6366178509716907e-05, Refund 21.546, Cost 1.3501524397906262
Mile Number: 32819, Probability: 3.6366178509716907e-05, Refund 21.543, Cost 1.3502731798215017
Mile Number: 32820, Probability: 3.6366178509716907e-05, Refund 21.54, Cost 1.3503938888854943
Mile Number: 32821, Probability: 3.6366178509716907e-05, Refund 21.537, Cost 1.35051456696524
Mile Number: 32822, Probability: 3.6366178509716907e-05, Refund 21.534, Cost 1.3506352140433755
Mile Number: 32823, Probability: 3.6366178509716907e-05, Refund 21.531, Cost 1.3507558301025402
Mile Number: 32824, Probability: 3.6366178509716907e-05, Refund 21.528, Cost 1.3508764151253652
Mile Number: 32825, Probability: 3.6366178509716907e-05, Refund 21.525, Cost 1.3509969690944745
Mile Number: 32826, Probability: 3.6366178509716907e-05, Refund 21.522, Cost 1.351117491992492
Mile Number: 32827, Probability: 3.6366178509716907e-05, Refund 21.519, Cost 1.3512379838020414
Mile Number: 32828, Probability: 3.6366178509716907e-05, Refund 21.516, Cost 1.351358444505736
Mile Number: 32829, Probability: 3.6366178509716907e-05, Refund 21.513, Cost 1.3514788740861927
Mile Number: 32830, Probability: 3.6366178509716907e-05, Refund 21.51, Cost 1.3515992725260138
Mile Number: 32831, Probability: 3.6366178509716907e-05, Refund 21.507, Cost 1.3517196398078102
Mile Number: 32832, Probability: 3.6366178509716907e-05, Refund 21.504, Cost 1.3518399759141835
Mile Number: 32833, Probability: 3.6366178509716907e-05, Refund 21.501, Cost 1.3519602808277316
Mile Number: 32834, Probability: 3.6366178509716907e-05, Refund 21.498, Cost 1.352080554531049
Mile Number: 32835, Probability: 3.6366178509716907e-05, Refund 21.495, Cost 1.3522007970067262
Mile Number: 32836, Probability: 3.6366178509716907e-05, Refund 21.492, Cost 1.3523210082373531
Mile Number: 32837, Probability: 3.6366178509716907e-05, Refund 21.489, Cost 1.3524411882055114
Mile Number: 32838, Probability: 3.6366178509716907e-05, Refund 21.486, Cost 1.3525613368937832
Mile Number: 32839, Probability: 3.6366178509716907e-05, Refund 21.483, Cost 1.3526814542847443
Mile Number: 32840, Probability: 3.6366178509716907e-05, Refund 21.48, Cost 1.352801540360967
Mile Number: 32841, Probability: 3.6366178509716907e-05, Refund 21.477, Cost 1.352921595105018
Mile Number: 32842, Probability: 3.6366178509716907e-05, Refund 21.474, Cost 1.353041618499472
Mile Number: 32843, Probability: 3.6366178509716907e-05, Refund 21.471, Cost 1.353161610526886
Mile Number: 32844, Probability: 3.6366178509716907e-05, Refund 21.468, Cost 1.3532815711698163
Mile Number: 32845, Probability: 3.6366178509716907e-05, Refund 21.465, Cost 1.3534015004108184
Mile Number: 32846, Probability: 3.6366178509716907e-05, Refund 21.462, Cost 1.3535213982324508
Mile Number: 32847, Probability: 3.6366178509716907e-05, Refund 21.459, Cost 1.3536412646172507
Mile Number: 32848, Probability: 3.6366178509716907e-05, Refund 21.456, Cost 1.3537610995477702
Mile Number: 32849, Probability: 3.6366178509716907e-05, Refund 21.453, Cost 1.3538809030065477
Mile Number: 32850, Probability: 3.6366178509716907e-05, Refund 21.45, Cost 1.3540006749761162
Mile Number: 32851, Probability: 3.6366178509716907e-05, Refund 21.447, Cost 1.354120415439012
Mile Number: 32852, Probability: 3.6366178509716907e-05, Refund 21.444, Cost 1.3542401243777666
Mile Number: 32853, Probability: 3.6366178509716907e-05, Refund 21.441, Cost 1.3543598017749057
Mile Number: 32854, Probability: 3.6366178509716907e-05, Refund 21.438, Cost 1.3544794476129485
Mile Number: 32855, Probability: 3.6366178509716907e-05, Refund 21.435, Cost 1.3545990618744155
Mile Number: 32856, Probability: 3.6366178509716907e-05, Refund 21.432, Cost 1.3547186445418207
Mile Number: 32857, Probability: 3.6366178509716907e-05, Refund 21.429, Cost 1.3548381955976787
Mile Number: 32858, Probability: 3.6366178509716907e-05, Refund 21.426, Cost 1.3549577150244958
Mile Number: 32859, Probability: 3.6366178509716907e-05, Refund 21.423, Cost 1.3550772028047744
Mile Number: 32860, Probability: 3.6366178509716907e-05, Refund 21.42, Cost 1.3551966589210187
Mile Number: 32861, Probability: 3.6366178509716907e-05, Refund 21.417, Cost 1.3553160833557214
Mile Number: 32862, Probability: 3.6366178509716907e-05, Refund 21.414, Cost 1.355435476091381
Mile Number: 32863, Probability: 3.6366178509716907e-05, Refund 21.411, Cost 1.3555548371104842
Mile Number: 32864, Probability: 3.6366178509716907e-05, Refund 21.408, Cost 1.3556741663955167
Mile Number: 32865, Probability: 3.6366178509716907e-05, Refund 21.405, Cost 1.3557934639289622
Mile Number: 32866, Probability: 3.6366178509716907e-05, Refund 21.402, Cost 1.3559127296933018
Mile Number: 32867, Probability: 3.6366178509716907e-05, Refund 21.399, Cost 1.3560319636710045
Mile Number: 32868, Probability: 3.6366178509716907e-05, Refund 21.396, Cost 1.3561511658445482
Mile Number: 32869, Probability: 3.6366178509716907e-05, Refund 21.393, Cost 1.3562703361964004
Mile Number: 32870, Probability: 3.6366178509716907e-05, Refund 21.39, Cost 1.3563894747090226
Mile Number: 32871, Probability: 3.6366178509716907e-05, Refund 21.387, Cost 1.3565085813648785
Mile Number: 32872, Probability: 3.6366178509716907e-05, Refund 21.384, Cost 1.3566276561464214
Mile Number: 32873, Probability: 3.6366178509716907e-05, Refund 21.381, Cost 1.3567466990361088
Mile Number: 32874, Probability: 3.6366178509716907e-05, Refund 21.378, Cost 1.35686571001639
Mile Number: 32875, Probability: 3.6366178509716907e-05, Refund 21.375, Cost 1.3569846890697075
Mile Number: 32876, Probability: 3.6366178509716907e-05, Refund 21.372, Cost 1.3571036361785118
Mile Number: 32877, Probability: 3.6366178509716907e-05, Refund 21.369, Cost 1.3572225513252358
Mile Number: 32878, Probability: 3.6366178509716907e-05, Refund 21.366, Cost 1.3573414344923167
Mile Number: 32879, Probability: 3.6366178509716907e-05, Refund 21.363, Cost 1.3574602856621878
Mile Number: 32880, Probability: 3.6366178509716907e-05, Refund 21.36, Cost 1.3575791048172732
Mile Number: 32881, Probability: 3.6366178509716907e-05, Refund 21.357, Cost 1.3576978919400011
Mile Number: 32882, Probability: 3.6366178509716907e-05, Refund 21.354, Cost 1.3578166470127941
Mile Number: 32883, Probability: 3.6366178509716907e-05, Refund 21.351, Cost 1.3579353700180663
Mile Number: 32884, Probability: 3.6366178509716907e-05, Refund 21.348, Cost 1.358054060938232
Mile Number: 32885, Probability: 3.6366178509716907e-05, Refund 21.345, Cost 1.3581727197557019
Mile Number: 32886, Probability: 3.6366178509716907e-05, Refund 21.342, Cost 1.3582913464528845
Mile Number: 32887, Probability: 3.6366178509716907e-05, Refund 21.339, Cost 1.3584099410121788
Mile Number: 32888, Probability: 3.6366178509716907e-05, Refund 21.336, Cost 1.3585285034159849
Mile Number: 32889, Probability: 3.6366178509716907e-05, Refund 21.333, Cost 1.3586470336467016
Mile Number: 32890, Probability: 3.6366178509716907e-05, Refund 21.33, Cost 1.3587655316867167
Mile Number: 32891, Probability: 3.6366178509716907e-05, Refund 21.327, Cost 1.3588839975184246
Mile Number: 32892, Probability: 3.6366178509716907e-05, Refund 21.324, Cost 1.359002431124207
Mile Number: 32893, Probability: 3.6366178509716907e-05, Refund 21.321, Cost 1.3591208324864394
Mile Number: 32894, Probability: 3.6366178509716907e-05, Refund 21.318, Cost 1.359239201587511
Mile Number: 32895, Probability: 3.6366178509716907e-05, Refund 21.315, Cost 1.359357538409784
Mile Number: 32896, Probability: 3.6366178509716907e-05, Refund 21.312, Cost 1.3594758429356397
Mile Number: 32897, Probability: 3.6366178509716907e-05, Refund 21.309, Cost 1.3595941151474367
Mile Number: 32898, Probability: 3.6366178509716907e-05, Refund 21.306, Cost 1.35971235502754
Mile Number: 32899, Probability: 3.6366178509716907e-05, Refund 21.303, Cost 1.3598305625583127
Mile Number: 32900, Probability: 3.6366178509716907e-05, Refund 21.3, Cost 1.3599487377221053
Mile Number: 32901, Probability: 3.6366178509716907e-05, Refund 21.297, Cost 1.3600668805012728
Mile Number: 32902, Probability: 3.6366178509716907e-05, Refund 21.294, Cost 1.3601849908781662
Mile Number: 32903, Probability: 3.6366178509716907e-05, Refund 21.291, Cost 1.3603030688351256
Mile Number: 32904, Probability: 3.6366178509716907e-05, Refund 21.288, Cost 1.3604211143544964
Mile Number: 32905, Probability: 3.6366178509716907e-05, Refund 21.285, Cost 1.3605391274186156
Mile Number: 32906, Probability: 3.6366178509716907e-05, Refund 21.282, Cost 1.3606571080098155
Mile Number: 32907, Probability: 3.6366178509716907e-05, Refund 21.279, Cost 1.3607750561104284
Mile Number: 32908, Probability: 3.6366178509716907e-05, Refund 21.276, Cost 1.360892971702781
Mile Number: 32909, Probability: 3.6366178509716907e-05, Refund 21.273, Cost 1.3610108547691955
Mile Number: 32910, Probability: 3.6366178509716907e-05, Refund 21.27, Cost 1.361128705291992
Mile Number: 32911, Probability: 3.6366178509716907e-05, Refund 21.267, Cost 1.3612465232534852
Mile Number: 32912, Probability: 3.6366178509716907e-05, Refund 21.264, Cost 1.3613643086359957
Mile Number: 32913, Probability: 3.6366178509716907e-05, Refund 21.261, Cost 1.3614820614218202
Mile Number: 32914, Probability: 3.6366178509716907e-05, Refund 21.258, Cost 1.361599781593272
Mile Number: 32915, Probability: 3.6366178509716907e-05, Refund 21.255, Cost 1.3617174691326501
Mile Number: 32916, Probability: 3.6366178509716907e-05, Refund 21.252, Cost 1.3618351240222517
Mile Number: 32917, Probability: 3.6366178509716907e-05, Refund 21.249, Cost 1.3619527462443757
Mile Number: 32918, Probability: 3.6366178509716907e-05, Refund 21.246, Cost 1.362070335781307
Mile Number: 32919, Probability: 3.6366178509716907e-05, Refund 21.243, Cost 1.362187892615335
Mile Number: 32920, Probability: 3.6366178509716907e-05, Refund 21.24, Cost 1.3623054167287467
Mile Number: 32921, Probability: 3.6366178509716907e-05, Refund 21.237, Cost 1.3624229081038144
Mile Number: 32922, Probability: 3.6366178509716907e-05, Refund 21.234, Cost 1.3625403667228202
Mile Number: 32923, Probability: 3.6366178509716907e-05, Refund 21.231, Cost 1.3626577925680359
Mile Number: 32924, Probability: 3.6366178509716907e-05, Refund 21.228, Cost 1.3627751856217303
Mile Number: 32925, Probability: 3.6366178509716907e-05, Refund 21.225, Cost 1.362892545866167
Mile Number: 32926, Probability: 3.6366178509716907e-05, Refund 21.222, Cost 1.3630098732836105
Mile Number: 32927, Probability: 3.6366178509716907e-05, Refund 21.219, Cost 1.3631271678563195
Mile Number: 32928, Probability: 3.6366178509716907e-05, Refund 21.216, Cost 1.3632444295665433
Mile Number: 32929, Probability: 3.6366178509716907e-05, Refund 21.213, Cost 1.3633616583965387
Mile Number: 32930, Probability: 3.6366178509716907e-05, Refund 21.21, Cost 1.3634788543285474
Mile Number: 32931, Probability: 3.6366178509716907e-05, Refund 21.207, Cost 1.3635960173448203
Mile Number: 32932, Probability: 3.6366178509716907e-05, Refund 21.204, Cost 1.363713147427594
Mile Number: 32933, Probability: 3.6366178509716907e-05, Refund 21.201, Cost 1.3638302445591013
Mile Number: 32934, Probability: 3.6366178509716907e-05, Refund 21.198, Cost 1.3639473087215799
Mile Number: 32935, Probability: 3.6366178509716907e-05, Refund 21.195, Cost 1.364064339897261
Mile Number: 32936, Probability: 3.6366178509716907e-05, Refund 21.192, Cost 1.3641813380683594
Mile Number: 32937, Probability: 3.6366178509716907e-05, Refund 21.189, Cost 1.3642983032171132
Mile Number: 32938, Probability: 3.6366178509716907e-05, Refund 21.186, Cost 1.3644152353257264
Mile Number: 32939, Probability: 3.6366178509716907e-05, Refund 21.183, Cost 1.36453213437642
Mile Number: 32940, Probability: 3.6366178509716907e-05, Refund 21.18, Cost 1.3646490003514062
Mile Number: 32941, Probability: 3.6366178509716907e-05, Refund 21.177, Cost 1.3647658332328905
Mile Number: 32942, Probability: 3.6366178509716907e-05, Refund 21.174, Cost 1.364882633003081
Mile Number: 32943, Probability: 3.6366178509716907e-05, Refund 21.171, Cost 1.3649993996441696
Mile Number: 32944, Probability: 3.6366178509716907e-05, Refund 21.168, Cost 1.3651161331383574
Mile Number: 32945, Probability: 3.6366178509716907e-05, Refund 21.165, Cost 1.3652328334678432
Mile Number: 32946, Probability: 3.6366178509716907e-05, Refund 21.162, Cost 1.3653495006148078
Mile Number: 32947, Probability: 3.6366178509716907e-05, Refund 21.159, Cost 1.3654661345614385
Mile Number: 32948, Probability: 3.6366178509716907e-05, Refund 21.156, Cost 1.3655827352899221
Mile Number: 32949, Probability: 3.6366178509716907e-05, Refund 21.153, Cost 1.365699302782433
Mile Number: 32950, Probability: 3.6366178509716907e-05, Refund 21.15, Cost 1.3658158370211473
Mile Number: 32951, Probability: 3.6366178509716907e-05, Refund 21.147, Cost 1.3659323379882398
Mile Number: 32952, Probability: 3.6366178509716907e-05, Refund 21.144, Cost 1.3660488056658746
Mile Number: 32953, Probability: 3.6366178509716907e-05, Refund 21.141, Cost 1.3661652400362152
Mile Number: 32954, Probability: 3.6366178509716907e-05, Refund 21.138, Cost 1.3662816410814247
Mile Number: 32955, Probability: 3.6366178509716907e-05, Refund 21.135, Cost 1.3663980087836574
Mile Number: 32956, Probability: 3.6366178509716907e-05, Refund 21.132, Cost 1.366514343125068
Mile Number: 32957, Probability: 3.6366178509716907e-05, Refund 21.129, Cost 1.366630644087807
Mile Number: 32958, Probability: 3.6366178509716907e-05, Refund 21.126, Cost 1.366746911654021
Mile Number: 32959, Probability: 3.6366178509716907e-05, Refund 21.123, Cost 1.3668631458058482
Mile Number: 32960, Probability: 3.6366178509716907e-05, Refund 21.12, Cost 1.3669793465254323
Mile Number: 32961, Probability: 3.6366178509716907e-05, Refund 21.117, Cost 1.3670955137949055
Mile Number: 32962, Probability: 3.6366178509716907e-05, Refund 21.114, Cost 1.3672116475964016
Mile Number: 32963, Probability: 3.6366178509716907e-05, Refund 21.111, Cost 1.367327747912048
Mile Number: 32964, Probability: 3.6366178509716907e-05, Refund 21.108, Cost 1.367443814723965
Mile Number: 32965, Probability: 3.6366178509716907e-05, Refund 21.105, Cost 1.3675598480142825
Mile Number: 32966, Probability: 3.6366178509716907e-05, Refund 21.102, Cost 1.3676758477651094
Mile Number: 32967, Probability: 3.6366178509716907e-05, Refund 21.099, Cost 1.3677918139585603
Mile Number: 32968, Probability: 3.6366178509716907e-05, Refund 21.096, Cost 1.3679077465767473
Mile Number: 32969, Probability: 3.6366178509716907e-05, Refund 21.093, Cost 1.3680236456017774
Mile Number: 32970, Probability: 3.6366178509716907e-05, Refund 21.09, Cost 1.368139511015752
Mile Number: 32971, Probability: 3.6366178509716907e-05, Refund 21.087, Cost 1.3682553428007682
Mile Number: 32972, Probability: 3.6366178509716907e-05, Refund 21.084, Cost 1.3683711409389265
Mile Number: 32973, Probability: 3.6366178509716907e-05, Refund 21.081, Cost 1.3684869054123139
Mile Number: 32974, Probability: 3.6366178509716907e-05, Refund 21.078, Cost 1.3686026362030186
Mile Number: 32975, Probability: 3.6366178509716907e-05, Refund 21.075, Cost 1.3687183332931285
Mile Number: 32976, Probability: 3.6366178509716907e-05, Refund 21.072, Cost 1.3688339966647236
Mile Number: 32977, Probability: 3.6366178509716907e-05, Refund 21.069, Cost 1.368949626299881
Mile Number: 32978, Probability: 3.6366178509716907e-05, Refund 21.066, Cost 1.369065222180673
Mile Number: 32979, Probability: 3.6366178509716907e-05, Refund 21.063, Cost 1.3691807842891706
Mile Number: 32980, Probability: 3.6366178509716907e-05, Refund 21.06, Cost 1.3692963126074398
Mile Number: 32981, Probability: 3.6366178509716907e-05, Refund 21.057, Cost 1.369411807117547
Mile Number: 32982, Probability: 3.6366178509716907e-05, Refund 21.054, Cost 1.3695272678015469
Mile Number: 32983, Probability: 3.6366178509716907e-05, Refund 21.051, Cost 1.3696426946414986
Mile Number: 32984, Probability: 3.6366178509716907e-05, Refund 21.048, Cost 1.3697580876194522
Mile Number: 32985, Probability: 3.6366178509716907e-05, Refund 21.045, Cost 1.3698734467174547
Mile Number: 32986, Probability: 3.6366178509716907e-05, Refund 21.042, Cost 1.3699887719175552
Mile Number: 32987, Probability: 3.6366178509716907e-05, Refund 21.039, Cost 1.3701040632017913
Mile Number: 32988, Probability: 3.6366178509716907e-05, Refund 21.036, Cost 1.3702193205522017
Mile Number: 32989, Probability: 3.6366178509716907e-05, Refund 21.033, Cost 1.3703345439508212
Mile Number: 32990, Probability: 3.6366178509716907e-05, Refund 21.03, Cost 1.37044973337968
Mile Number: 32991, Probability: 3.6366178509716907e-05, Refund 21.027, Cost 1.3705648888208048
Mile Number: 32992, Probability: 3.6366178509716907e-05, Refund 21.024, Cost 1.3706800102562167
Mile Number: 32993, Probability: 3.6366178509716907e-05, Refund 21.021, Cost 1.3707950976679377
Mile Number: 32994, Probability: 3.6366178509716907e-05, Refund 21.018, Cost 1.3709101510379835
Mile Number: 32995, Probability: 3.6366178509716907e-05, Refund 21.015, Cost 1.3710251703483656
Mile Number: 32996, Probability: 3.6366178509716907e-05, Refund 21.012, Cost 1.3711401555810943
Mile Number: 32997, Probability: 3.6366178509716907e-05, Refund 21.009, Cost 1.37125510671817
Mile Number: 32998, Probability: 3.6366178509716907e-05, Refund 21.006, Cost 1.3713700237415998
Mile Number: 32999, Probability: 3.6366178509716907e-05, Refund 21.003, Cost 1.3714849066333779
Mile Number: 33000, Probability: 3.6366178509716907e-05, Refund 21.0, Cost 1.3715997553755024
Mile Number: 33001, Probability: 3.6366178509716907e-05, Refund 20.997, Cost 1.3717145699499604
Mile Number: 33002, Probability: 3.6366178509716907e-05, Refund 20.994, Cost 1.3718293503387369
Mile Number: 33003, Probability: 3.6366178509716907e-05, Refund 20.991, Cost 1.3719440965238234
Mile Number: 33004, Probability: 3.6366178509716907e-05, Refund 20.988, Cost 1.3720588084871916
Mile Number: 33005, Probability: 3.6366178509716907e-05, Refund 20.985, Cost 1.3721734862108221
Mile Number: 33006, Probability: 3.6366178509716907e-05, Refund 20.982, Cost 1.3722881296766842
Mile Number: 33007, Probability: 3.6366178509716907e-05, Refund 20.979, Cost 1.37240273886675
Mile Number: 33008, Probability: 3.6366178509716907e-05, Refund 20.976, Cost 1.3725173137629842
Mile Number: 33009, Probability: 3.6366178509716907e-05, Refund 20.973, Cost 1.3726318543473477
Mile Number: 33010, Probability: 3.6366178509716907e-05, Refund 20.97, Cost 1.372746360601798
Mile Number: 33011, Probability: 3.6366178509716907e-05, Refund 20.967, Cost 1.3728608325082914
Mile Number: 33012, Probability: 3.6366178509716907e-05, Refund 20.964, Cost 1.3729752700487763
Mile Number: 33013, Probability: 3.6366178509716907e-05, Refund 20.961, Cost 1.3730896732052016
Mile Number: 33014, Probability: 3.6366178509716907e-05, Refund 20.958, Cost 1.3732040419595117
Mile Number: 33015, Probability: 3.6366178509716907e-05, Refund 20.955, Cost 1.373318376293645
Mile Number: 33016, Probability: 3.6366178509716907e-05, Refund 20.952, Cost 1.3734326761895408
Mile Number: 33017, Probability: 3.6366178509716907e-05, Refund 20.949, Cost 1.3735469416291275
Mile Number: 33018, Probability: 3.6366178509716907e-05, Refund 20.946, Cost 1.3736611725943382
Mile Number: 33019, Probability: 3.6366178509716907e-05, Refund 20.943, Cost 1.3737753690670955
Mile Number: 33020, Probability: 3.6366178509716907e-05, Refund 20.94, Cost 1.3738895310293242
Mile Number: 33021, Probability: 3.6366178509716907e-05, Refund 20.937, Cost 1.3740036584629405
Mile Number: 33022, Probability: 3.6366178509716907e-05, Refund 20.934, Cost 1.3741177513498593
Mile Number: 33023, Probability: 3.6366178509716907e-05, Refund 20.931, Cost 1.374231809671992
Mile Number: 33024, Probability: 3.6366178509716907e-05, Refund 20.928, Cost 1.3743458334112475
Mile Number: 33025, Probability: 3.6366178509716907e-05, Refund 20.925, Cost 1.3744598225495286
Mile Number: 33026, Probability: 3.6366178509716907e-05, Refund 20.922, Cost 1.374573777068737
Mile Number: 33027, Probability: 3.6366178509716907e-05, Refund 20.919, Cost 1.3746876969507664
Mile Number: 33028, Probability: 3.6366178509716907e-05, Refund 20.916, Cost 1.374801582177513
Mile Number: 33029, Probability: 3.6366178509716907e-05, Refund 20.913, Cost 1.3749154327308657
Mile Number: 33030, Probability: 3.6366178509716907e-05, Refund 20.91, Cost 1.3750292485927058
Mile Number: 33031, Probability: 3.6366178509716907e-05, Refund 20.907, Cost 1.3751430297449234
Mile Number: 33032, Probability: 3.6366178509716907e-05, Refund 20.904, Cost 1.37525677616939
Mile Number: 33033, Probability: 3.6366178509716907e-05, Refund 20.901, Cost 1.3753704878479847
Mile Number: 33034, Probability: 3.6366178509716907e-05, Refund 20.898, Cost 1.3754841647625788
Mile Number: 33035, Probability: 3.6366178509716907e-05, Refund 20.895, Cost 1.3755978068950374
Mile Number: 33036, Probability: 3.6366178509716907e-05, Refund 20.892, Cost 1.3757114142272282
Mile Number: 33037, Probability: 3.6366178509716907e-05, Refund 20.889, Cost 1.3758249867410106
Mile Number: 33038, Probability: 3.6366178509716907e-05, Refund 20.886, Cost 1.3759385244182392
Mile Number: 33039, Probability: 3.6366178509716907e-05, Refund 20.883, Cost 1.37605202724077
Mile Number: 33040, Probability: 3.6366178509716907e-05, Refund 20.88, Cost 1.3761654951904525
Mile Number: 33041, Probability: 3.6366178509716907e-05, Refund 20.877, Cost 1.3762789282491297
Mile Number: 33042, Probability: 3.6366178509716907e-05, Refund 20.874, Cost 1.3763923263986506
Mile Number: 33043, Probability: 3.6366178509716907e-05, Refund 20.871, Cost 1.3765056896208474
Mile Number: 33044, Probability: 3.6366178509716907e-05, Refund 20.868, Cost 1.3766190178975617
Mile Number: 33045, Probability: 3.6366178509716907e-05, Refund 20.865, Cost 1.3767323112106173
Mile Number: 33046, Probability: 3.6366178509716907e-05, Refund 20.862, Cost 1.37684556954185
Mile Number: 33047, Probability: 3.6366178509716907e-05, Refund 20.859, Cost 1.3769587928730807
Mile Number: 33048, Probability: 3.6366178509716907e-05, Refund 20.856, Cost 1.3770719811861272
Mile Number: 33049, Probability: 3.6366178509716907e-05, Refund 20.853, Cost 1.3771851344628137
Mile Number: 33050, Probability: 3.6366178509716907e-05, Refund 20.85, Cost 1.3772982526849507
Mile Number: 33051, Probability: 3.6366178509716907e-05, Refund 20.847, Cost 1.3774113358343472
Mile Number: 33052, Probability: 3.6366178509716907e-05, Refund 20.844, Cost 1.3775243838928097
Mile Number: 33053, Probability: 3.6366178509716907e-05, Refund 20.841, Cost 1.3776373968421411
Mile Number: 33054, Probability: 3.6366178509716907e-05, Refund 20.838, Cost 1.3777503746641417
Mile Number: 33055, Probability: 3.6366178509716907e-05, Refund 20.835, Cost 1.3778633173406059
Mile Number: 33056, Probability: 3.6366178509716907e-05, Refund 20.832, Cost 1.3779762248533283
Mile Number: 33057, Probability: 3.6366178509716907e-05, Refund 20.829, Cost 1.3780890971840931
Mile Number: 33058, Probability: 3.6366178509716907e-05, Refund 20.826, Cost 1.3782019343146876
Mile Number: 33059, Probability: 3.6366178509716907e-05, Refund 20.823, Cost 1.378314736226894
Mile Number: 33060, Probability: 3.6366178509716907e-05, Refund 20.82, Cost 1.3784275029024848
Mile Number: 33061, Probability: 3.6366178509716907e-05, Refund 20.817, Cost 1.3785402343232418
Mile Number: 33062, Probability: 3.6366178509716907e-05, Refund 20.814, Cost 1.3786529304709318
Mile Number: 33063, Probability: 3.6366178509716907e-05, Refund 20.811, Cost 1.3787655913273165
Mile Number: 33064, Probability: 3.6366178509716907e-05, Refund 20.808, Cost 1.3788782168741653
Mile Number: 33065, Probability: 3.6366178509716907e-05, Refund 20.805, Cost 1.3789908070932355
Mile Number: 33066, Probability: 3.6366178509716907e-05, Refund 20.802, Cost 1.3791033619662845
Mile Number: 33067, Probability: 3.6366178509716907e-05, Refund 20.799, Cost 1.379215881475062
Mile Number: 33068, Probability: 3.6366178509716907e-05, Refund 20.796, Cost 1.3793283656013196
Mile Number: 33069, Probability: 3.6366178509716907e-05, Refund 20.793, Cost 1.3794408143267993
Mile Number: 33070, Probability: 3.6366178509716907e-05, Refund 20.79, Cost 1.3795532276332447
Mile Number: 33071, Probability: 3.6366178509716907e-05, Refund 20.787, Cost 1.3796656055023941
Mile Number: 33072, Probability: 3.6366178509716907e-05, Refund 20.784, Cost 1.3797779479159777
Mile Number: 33073, Probability: 3.6366178509716907e-05, Refund 20.781, Cost 1.379890254855731
Mile Number: 33074, Probability: 3.6366178509716907e-05, Refund 20.778, Cost 1.3800025263033795
Mile Number: 33075, Probability: 3.6366178509716907e-05, Refund 20.775, Cost 1.3801147622406433
Mile Number: 33076, Probability: 3.6366178509716907e-05, Refund 20.772, Cost 1.3802269626492498
Mile Number: 33077, Probability: 3.6366178509716907e-05, Refund 20.769, Cost 1.3803391275109074
Mile Number: 33078, Probability: 3.6366178509716907e-05, Refund 20.766, Cost 1.3804512568073313
Mile Number: 33079, Probability: 3.6366178509716907e-05, Refund 20.763, Cost 1.3805633505202333
Mile Number: 33080, Probability: 3.6366178509716907e-05, Refund 20.76, Cost 1.3806754086313164
Mile Number: 33081, Probability: 3.6366178509716907e-05, Refund 20.757, Cost 1.3807874311222805
Mile Number: 33082, Probability: 3.6366178509716907e-05, Refund 20.754, Cost 1.3808994179748264
Mile Number: 33083, Probability: 3.6366178509716907e-05, Refund 20.751, Cost 1.3810113691706474
Mile Number: 33084, Probability: 3.6366178509716907e-05, Refund 20.748, Cost 1.3811232846914385
Mile Number: 33085, Probability: 3.6366178509716907e-05, Refund 20.745, Cost 1.3812351645188798
Mile Number: 33086, Probability: 3.6366178509716907e-05, Refund 20.742, Cost 1.3813470086346613
Mile Number: 33087, Probability: 3.6366178509716907e-05, Refund 20.739, Cost 1.3814588170204596
Mile Number: 33088, Probability: 3.6366178509716907e-05, Refund 20.736, Cost 1.3815705896579524
Mile Number: 33089, Probability: 3.6366178509716907e-05, Refund 20.733, Cost 1.3816823265288127
Mile Number: 33090, Probability: 3.6366178509716907e-05, Refund 20.73, Cost 1.3817940276147098
Mile Number: 33091, Probability: 3.6366178509716907e-05, Refund 20.727, Cost 1.381905692897309
Mile Number: 33092, Probability: 3.6366178509716907e-05, Refund 20.724, Cost 1.382017322358273
Mile Number: 33093, Probability: 3.6366178509716907e-05, Refund 20.721, Cost 1.3821289159792598
Mile Number: 33094, Probability: 3.6366178509716907e-05, Refund 20.718, Cost 1.3822404737419256
Mile Number: 33095, Probability: 3.6366178509716907e-05, Refund 20.715, Cost 1.3823519956279176
Mile Number: 33096, Probability: 3.6366178509716907e-05, Refund 20.712, Cost 1.3824634816188872
Mile Number: 33097, Probability: 3.6366178509716907e-05, Refund 20.709, Cost 1.3825749316964793
Mile Number: 33098, Probability: 3.6366178509716907e-05, Refund 20.706, Cost 1.3826863458423295
Mile Number: 33099, Probability: 3.6366178509716907e-05, Refund 20.703, Cost 1.3827977240380802
